<?xml version="1.0" encoding="UTF-8"?>Title| MMSID| ISSN | ISSN 
Archives of trauma research.|99157415910001452|2251953X|2251953X|
Archives of virology [electronic resource].|99158516770001452|03048608|03048608|
Archives of women's mental health [electronic resource].|99157803540001452|14341816|14341816|
Archivio italiano di urologia andrologia : organo ufficiale [di] SocietÃ  italiana di ecografia urologica e nefrologica / Associazione ricerche in urologia.|99161931653401452|11243562|11243562|
Archivos argentinos de pediatriÌ&#x81;a.|99157345390001452|03250075|03250075|
Archivos de bronconeumologÃ­a.|99161871116201452|15792129|15792129|
Archivos de cardiologÃ­a de MÃ©xico.|99157471390001452|14059940|14059940|
Archivos de la Sociedad EspaÃ±ola de OftalmologÃ­a.|99157348800001452|03656691|03656691|
Archivos de neurociencias.|99157844530001452|10285938|10285938|
Archivos de psiquiatrÃ­a.|99157320850001452|15760367|15760367|
Archivos del Instituto Nacional de NeurologÃ­a y NeurocirugÃ­a.|99157762670001452|01874705|01874705|
Archivos espaÃ±oles de urologÃ­a.|99157345600001452|00040614|00040614|
Archivos latinoamericanos de nutriciÃ³n.|99161912748701452|00040622|00040622|
Archivos venezolanos de farmacologÃ­a y terapÃ©utica : Ã³rgano oficial de las Sociedades Venezolanas de FarmacologÃ­a y de FarmacologÃ­a ClÃ­nica y TerapÃ©utica.|99157349560001452|07980264|07980264|
Archiwum medycyny sÄ…dowej i krjminologii.|99161927204501452|03248267|03248267|
Arhiv za higijenu rada i toksikologiju.|99157354860001452|00041254|00041254|
Arizona nurse.|99158193090001452|00041599|00041599|
Arkansas nursing news.|99158191790001452|15398528|15398528|
Arquivos brasileiros de cardiologia [electronic resource].|99157349350001452|0066782X|0066782X|
Arquivos brasileiros de cirurgia digestiva : ABCD = Brazilian archives of digestive surgery.|99157407330001452|01026720|01026720|
Arquivos brasileiros de neurocirurgia.|99161940256001452|01035355|01035355|
Arquivos brasileiros de oftalmologia.|99157349370001452|00042749|00042749|
Arquivos de gastroenterologia.|99157349360001452|00042803|00042803|
Arquivos de medicina : revista de ciÃªncia e arte mÃ©dicas.|99157763110001452|08713413|08713413|
Arquivos de neuro-psiquiatria.|99157349390001452|0004282X|0004282X|
Arrhythmia &amp; electrophysiology review.|99161932558601452|20503369|20503369|
Ars pharmaceutica; revista de la Facultad de Farmacia de la Universidad de Granada.|99157318800001452|00042927|00042927|
Arteriosclerosis, thrombosis, and vascular biology [electronic resource].|99157492740001452|10795642|10795642|
Artery research : the official journal of ARTERY.|99158431960001452|18729312|18729312|
Arthritis &amp; rheumatology.|99161786861801452|23265191|23265191|
Arthritis care &amp; research.|99158527350001452|2151464X|2151464X|
Arthritis research &amp; therapy [electronic resource].|99157230050001452|14786354|14786354|
Arthritis.|99157400910001452|20901984|20901984|
Arthroplasty Today|99161891032901452|23523441|23523441|
Arthropod structure &amp; development [electronic resource].|99161967477801452|14678039|14678039|
Arthroscopy [electronic resource] : the journal of arthroscopic &amp; related surgery.|99158433450001452|07498063|07498063|
Arthroscopy techniques.|99161958027201452|22126287|22126287|
Articulo.|99157369420001452|16614941|16614941|
Articulo.|99125270700001452|16614941|16614941|
Artificial DNA, PNA &amp; XNA.|99157770300001452|1949095X|1949095X|
Artificial cells, nanomedicine, and biotechnology.|99158477020001452|21691401|21691401|
Artificial intelligence in medicine [electronic resource].|99158432450001452|09333657|09333657|
Artificial life [electronic resource].|99157804500001452|10645462|10645462|
Artificial organs [electronic resource].|99157804750001452|0160564X|0160564X|
Asia Pacific allergy.|99157416260001452|22338276|22338276|
Asia Pacific journal of clinical nutrition.|99157446480001452|09647058|09647058|
Asia Pacific journal of environmental law [electronic resource].|99161926639101452|13852140|13852140|
Asia Pacific journal of medical toxicology.|99157430120001452|23222611|23222611|
Asia-Pacific journal of clinical oncology.|99157804180001452|17437555|17437555|
Asia-Pacific journal of ophthalmology.|99161941798301452|21620989|21620989|
Asia-Pacific journal of public health / Asia-Pacific Academic Consortium for Public Health.|99160483130001452|10105395|10105395|
Asia-Pacific journal of social sciences.|99125548300001452|09755942|09755942|
Asia-Pacific journal of sports medicine, arthroscopy, rehabilitation and technology.|99161778056601452|22146873|22146873|
Asia-Pacific psychiatry [electronic resource].|99157875190001452|17585864|17585864|
Asian Pacific journal of allergy and immunology / launched by the Allergy and Immunology Society of Thailand?].|99157602180001452|0125877X|0125877X|
Asian Pacific journal of cancer prevention.|99161962935101452|15137368|15137368|
Asian Pacific journal of tropical biomedicine.|99161871074101452|22211691|22211691|
Asian Pacific journal of tropical medicine [electronic resource].|99158439270001452|19957645|19957645|
Asian biomedicine : research, reviews and news.|99157591130001452|19057415|19057415|
Asian cardiovascular &amp; thoracic annals.|99157586150001452|02184923|02184923|
Asian journal of andrology [electronic resource].|99157445950001452|1008682X|1008682X|
Asian journal of endoscopic surgery.|99159704050001452|17585902|17585902|
Asian journal of epidemiology.|99157362600001452|19921462|19921462|
Asian journal of pharmaceutical and clinical research : AJPCR.|99157364010001452|09742441|09742441|
Asian journal of pharmaceutical research and health care.|99157391400001452|22501444|22501444|
Asian journal of pharmaceutical sciences [electronic resource].|99157874950001452|18180876|18180876|
Asian journal of pharmaceutics.|99157367830001452|09738398|09738398|
Asian journal of psychiatry [electronic resource].|99158435000001452|18762018|18762018|
Asian journal of surgery : official publication of the Asian Surgical Association.|99158435070001452|10159584|10159584|
Asian nursing research.|99158468830001452|19761317|19761317|
AsimmetriiÍ¡a|99158670120001452|19996489|19996489|
Assay and drug development technologies [electronic resource].|99157770290001452|1540658X|1540658X|
Assessment [electronic resource].|99158519100001452|10731911|10731911|
Assistive technology : the official journal of RESNA ...|99158193110001452|10400435|10400435|
Association medical journal.|99158308290001452|20419996|20419996|
Asthma Allergy Immunology / Astim Allerji Immunoloji|99157880850001452|13089234|13089234|
Astrobiology [electronic resource].|99157770150001452|15311074|15311074|
Atencion primaria / Sociedad EspaÃ±ola de Medicina de Familia y Comunitaria.|99157319990001452|02126567|02126567|
Atherosclerosis [electronic resource].|99158436510001452|00219150|00219150|
Atherosclerosis. Supplements [electronic resource].|99161967475601452|15675688|15675688|
Atlas of the oral and maxillofacial surgery clinics of North America.|99158435270001452|10613315|10613315|
Atmospheric environment [electronic resource].|99161967644901452|13522310|13522310|
Attachment &amp; human development.|99157804070001452|14616734|14616734|
Attention, perception &amp; psychophysics.|99158517860001452|19433921|19433921|
Audiology &amp; neuro-otology.|99157770570001452|14203030|14203030|
Audiology and neurotology extra.|99161820126501452|16645537|16645537|
Audiology research.|99157382520001452|20394330|20394330|
Audiology.|99158206400001452|00206091|00206091|
Augmentative and alternative communication [electronic resource] : AAC.|99158193480001452|07434618|07434618|
Auris nasus larynx [electronic resource].|99158434990001452|03858146|03858146|
Australasian biotechnology.|99157212490001452|10367128|10367128|
Australasian emergency nursing journal : AENJ.|99161967525001452|15746267|15746267|
Australasian journal of dermatology [electronic resource].|99157803350001452|00048380|00048380|
Australasian journal of podiatric medicine : AJPM.|99157529500001452|13280694|13280694|
Australasian journal on ageing.|99158193380001452|14406381|14406381|
Australasian psychiatry [electronic resource].|99157804930001452|10398562|10398562|
Australian and New Zealand continence journal.|99158192760001452|14480131|14480131|
Australian and New Zealand journal of psychiatry [electronic resource].|99157802740001452|00048674|00048674|
Australian and New Zealand journal of public health.|99158529130001452|13260200|13260200|
Australian critical care : official journal of the Confederation of Australian Critical Care Nurses.|99161967484801452|10367314|10367314|
Australian dental journal.|99157574300001452|00450421|00450421|
Australian endodontic journal : the journal of the Australian Society of Endodontology Inc.|99158528500001452|13291947|13291947|
Australian family physician.|99157433980001452|03008495|03008495|
Australian journal of herbal medicine.|99158209090001452|22003886|22003886|
Australian journal of medical herbalism.|99158192210001452|10338330|10338330|
Australian journal of medical science.|99161966775201452|10381643|10381643|
Australian journal of music therapy : the journal of the Australian Music Therapy Association Inc.|99158192380001452|10369457|10369457|
Australian journal of nutrition and dietetics.|99157803300001452|10321322|10321322|
Australian journal of primary health.|99157845760001452|14487527|14487527|
Australian nursing &amp; midwifery journal.|99160049090001452|22027114|22027114|
Australian occupational therapy journal [electronic resource].|99157804260001452|00450766|00450766|
Australian prescriber.|99157331450001452|03128008|03128008|
Australian veterinary journal.|99158528600001452|00050423|00050423|
Autism [electronic resource].|99158520210001452|13623613|13623613|
Autism research [electronic resource].|99158528520001452|19393792|19393792|
Autoimmune diseases.|99157371440001452|20900422|20900422|
Autoimmunity [electronic resource].|99157803880001452|08916934|08916934|
Autoimmunity highlights.|99161831733101452|20380305|20380305|
Autoimmunity reviews.|99158432480001452|15689972|15689972|
Autonomic &amp; autacoid pharmacology [electronic resource].|99157803730001452|14748665|14748665|
Autonomic neuroscience [electronic resource].|99158436030001452|15660702|15660702|
Autophagy.|99157615450001452|15548627|15548627|
Auxiliary|99158191280001452|13234919|13234919|
Avian biology research [electronic resource].|99157880110001452|17581559|17581559|
Avian diseases digest.|99158440810001452|19335334|19335334|
Avian diseases.|99158307560001452|00052086|00052086|
Avian pathology [electronic resource].|99157503760001452|03079457|03079457|
Avicenna [electronic resource].|99157581560001452|22202749|22202749|
Avicenna journal of medical biotechnology.|99157377780001452|20082835|20082835|
Avicenna journal of phytomedicine.|99157391410001452|22287930|22287930|
BBA clinical.|99161778058501452|22146474|22146474|
BJOG [electronic resource] : an international journal of obstetrics and gynaecology.|99158446640001452|14700328|14700328|
BJPsych bulletin.|99161821561301452|20564694|20564694|
BJU international.|99157780160001452|14644096|14644096|
BMB reports.|99157366630001452|19766696|19766696|
BMC medical physics [electronic resource].|99157230930001452|17566649|17566649|
BMC obesity.|99161757936301452|20529538|20529538|
BMJ case reports [electronic resource].|99161958026901452|1757790X|1757790X|
BMJ innovations.|99161821560301452|2055642X|2055642X|
BMJ open respiratory research.|99161789056701452|20524439|20524439|
BMJ open.|99157378870001452|20446055|20446055|
BMJ quality &amp; safety.|99157649820001452|20445415|20445415|
Bacteriophage.|99157770860001452|21597073|21597073|
BaillieÌ€re's best practice &amp; research. Clinical anaesthesiology.|99158434780001452|15216896|15216896|
BailliÃ¨re's best practice and research in clinical endocrinology and metabolism [electronic resource].|99158444970001452|1521690X|1521690X|
BailliÃ¨re's best practice and research in clinical gastroenterology [electronic resource].|99158432950001452|15216918|15216918|
BailliÃ¨re's best practice and research in clinical haematology [electronic resource].|99158432960001452|15216926|15216926|
BailliÃ¨re's best practice and research in clinical obstetrics and gynaecology.|99158432970001452|15216934|15216934|
BailliÃ¨re's best practice and research in clinical rheumatology [electronic resource].|99158432980001452|15216942|15216942|
Balkan journal of medical genetics.|99157365330001452|13110160|13110160|
Balkan medical journal.|99157382530001452|21463123|21463123|
Bangladesh Medical Research Council bulletin.|99157600680001452|03779238|03779238|
Bangladesh journal of medical science (Ibn Sina Trust).|99157408960001452|22234721|22234721|
Bangladesh journal of pharmacology.|99157370800001452|1991007X|1991007X|
Basal ganglia.|99161967494501452|22105336|22105336|
Basic &amp; clinical pharmacology &amp; toxicology.|99157802690001452|17427835|17427835|
Basic and applied pathology.|99157399350001452|17559294|17559294|
Basic and clinical neuroscience.|99161804251501452|2008126X|2008126X|
Basic research in cardiology [electronic resource].|99158517980001452|03008428|03008428|
Beginnings : the official newsletter of the American Holistic Nurses' Association.|99161966796001452|10712984|10712984|
Behavior genetics [electronic resource].|99157803660001452|00018244|00018244|
Behavior modification.|99158519610001452|01454455|01454455|
Behavior research methods / Psychonomic Society.|99158516920001452|1554351X|1554351X|
Behavior therapy [electronic resource].|99158433810001452|00057894|00057894|
Behavioral and brain sciences.|99161948350801452|0140525X|0140525X|
Behavioral medicine [electronic resource].|99157770510001452|08964289|08964289|
Behavioral neuroscience [electronic resource].|99158253410001452|07357044|07357044|
Behavioral sciences &amp; the law [electronic resource].|99157804000001452|07353936|07353936|
Behavioral sleep medicine [electronic resource].|99157803090001452|15402002|15402002|
Behaviour change : journal of the Australian Behaviour Modification Association.|99157849470001452|08134839|08134839|
Behaviour research and therapy [electronic resource].|99161967418601452|00057967|00057967|
Behavioural and cognitive psychotherapy [electronic resource].|99161948352901452|13524658|13524658|
Behavioural brain research [electronic resource].|99161967478801452|01664328|01664328|
Behavioural neurology [electronic resource].|99157802580001452|09534180|09534180|
Behavioural pharmacology [electronic resource].|99158507500001452|09558810|09558810|
Behavioural processes [electronic resource].|99161967653001452|03766357|03766357|
Berichte zur Wissenschaftsgeschichte [electronic resource].|99158527910001452|01706233|01706233|
Best practices for hospital &amp; health-system pharmacy : position and guidance documents of ASHP.|99158210900001452|15558975|15558975|
Beyin damar hastalÄ±klarÄ± dergisi|99161932661801452|13011375|13011375|
Bio systems.|99161967515701452|03032647|03032647|
Bio-medical materials and engineering [electronic resource].|99157803570001452|09592989|09592989|
BioDrugs : clinical immunotherapeutics, biopharmaceuticals, and gene therapy.|99157803890001452|11738804|11738804|
BioEssays.|99158528100001452|02659247|02659247|
BioFactors.|99157804900001452|09516433|09516433|
BioImpacts : BI.|99157396690001452|22285652|22285652|
BioMed research international.|99157417680001452|23146133|23146133|
BioMetals [electronic resource].|99158930770001452|09660844|09660844|
Bioactive carbohydrates and dietary fibre.|99161967498901452|22126198|22126198|
Bioanalysis.|99161947977001452|17576180|17576180|
Bioarchitecture.|99157770820001452|19490992|19490992|
Biocatalysis and biotransformation [electronic resource].|99157802880001452|10242422|10242422|
Biocell : official journal of the Sociedades Latinoamericanas de MicroscopÃ­a ElectrÃ³nica ... [et al.].|99157362180001452|03279545|03279545|
Biochemia medica : Ä&#x8d;asopis Hrvatskoga druÅ¡tva medicinskih biokemiÄ&#x8d;ara / HDMB.|99157354230001452|13300962|13300962|
Biochemical and biophysical research communications.|99161967503701452|0006291X|0006291X|
Biochemical engineering journal [electronic resource].|99161967466401452|1369703X|1369703X|
Biochemical genetics [electronic resource].|99158517690001452|00062928|00062928|
Biochemical pharmacology [electronic resource].|99161967512101452|00062952|00062952|
Biochemistry (Moscow). Series B, Supplement. Biomedical chemistry.|991618195201452|19907508|19907508|
Biochemistry (Moscow). Supplement series A, Membrane and cell biology [electronic resource].|991618198101452|19907478|19907478|
Biochemistry [electronic resource].|99158484780001452|00062960|00062960|
Biochemistry [electronic resource].|99157804380001452|00062979|00062979|
Biochemistry and Biophysics Reports|99161967404501452|24055808|24055808|
Biochemistry and cell biology = Biochchimie et biologie cellulaire.|99157804950001452|08298211|08298211|
Biochemistry and molecular biology education [electronic resource].|99157792410001452|14708175|14708175|
Biochimica et biophysica acta. Bioenergetics [electronic resource].|99161967533101452|00052728|00052728|
Biochimica et biophysica acta. Biomembranes [electronic resource].|99161967533201452|00052736|00052736|
Biochimica et biophysica acta. Gene regulatory mechanisms.|99161967520101452|18749399|18749399|
Biochimica et biophysica acta. General subjects [electronic resource].|99161967401301452|03044165|03044165|
Biochimica et biophysica acta. Molecular and cell biology of lipids [electronic resource].|99161967373701452|13881981|13881981|
Biochimica et biophysica acta. Molecular basis of disease [electronic resource].|99161967474001452|09254439|09254439|
Biochimica et biophysica acta. Molecular cell research [electronic resource].|99161967637701452|01674889|01674889|
Biochimica et biophysica acta. Proteins and proteomics [electronic resource].|99161967559001452|15709639|15709639|
Biochimica et biophysica acta. Reviews on cancer [electronic resource].|99161967422501452|0304419X|0304419X|
Biochimie [electronic resource].|99161967613301452|03009084|03009084|
Bioconjugate chemistry [electronic resource].|99158484990001452|10431802|10431802|
Biocontrol science.|99157665000001452|13424815|13424815|
Biocybernetics and biomedical engineering / Polish Academy of Sciences, Institute of Biocybernetics and Biomedical Engineering.|99161871148801452|02085216|02085216|
Biodegradation.|99158517310001452|09239820|09239820|
Biodemography and social biology.|99158511960001452|19485565|19485565|
Bioelectrochemistry [electronic resource].|99161967474301452|15675394|15675394|
Bioelectromagnetics.|99158529430001452|01978462|01978462|
Bioengineered.|99157751030001452|21655979|21655979|
Bioethics [electronic resource].|99157804520001452|02699702|02699702|
Biofabrication [electronic resource].|99161863243101452|17585082|17585082|
Biofouling [electronic resource].|99158513840001452|08927014|08927014|
Biogerontology.|99161899659801452|13895729|13895729|
Bioinformatics [electronic resource].|99157496610001452|13674803|13674803|
Bioinformatics and biology insights.|99157370660001452|11779322|11779322|
Bioinspiration &amp; biomimetics.|99161863243001452|17483182|17483182|
Biointerphases.|99157356990001452|19348630|19348630|
Biological &amp; pharmaceutical bulletin.|99157243990001452|09186158|09186158|
Biological bulletin.|99157463090001452|00063185|00063185|
Biological chemistry [electronic resource].|99157802610001452|14316730|14316730|
Biological cybernetics [electronic resource].|99157804550001452|03401200|03401200|
Biological procedures online.|99157229350001452|14809222|14809222|
Biological psychiatry [electronic resource].|99158433580001452|00063223|00063223|
Biological psychology [electronic resource].|99161967494601452|03010511|03010511|
Biological research for nursing [electronic resource].|99158502010001452|10998004|10998004|
Biological research.|99157350990001452|07169760|07169760|
Biological reviews of the Cambridge Philosophical Society.|99158450710001452|14647931|14647931|
Biological rhythm research [electronic resource].|99157802550001452|09291016|09291016|
Biological trace element research [electronic resource].|99158516690001452|01634984|01634984|
Biologicals [electronic resource] : journal of the International Association of Biological Standardization.|99161967640301452|10451056|10451056|
Biologics : targets &amp; therapy.|99157362280001452|11775475|11775475|
Biologics in Therapy.|99161784261201452|21955840|21955840|
Biologie aujourd'hui.|99158436820001452|21050678|21050678|
Biology letters.|99157650000001452|17449561|17449561|
Biology of blood and marrow transplantation [electronic resource].|99157433050001452|10838791|10838791|
Biology of reproduction [electronic resource].|99157650620001452|00063363|00063363|
Biology of the cell.|99157519480001452|02484900|02484900|
Biomacromolecules.|99158484930001452|15257797|15257797|
Biomagnetic research and technology.|99157211630001452|1477044X|1477044X|
Biomarker insights.|99157356530001452|11772719|11772719|
Biomarker research.|99161809094701452|20507771|20507771|
Biomarkers [electronic resource].|99157802640001452|1354750X|1354750X|
Biomarkers and genomic medicine.|99161930259601452|22140247|22140247|
Biomarkers in medicine.|99161961952501452|17520363|17520363|
Biomaterials [electronic resource].|99158434610001452|01429612|01429612|
Biomaterials science.|99157763310001452|20474830|20474830|
Biomatter.|99157851270001452|21592527|21592527|
Biomedical and environmental sciences : BES.|99158468460001452|08953988|08953988|
Biomedical chromatography [electronic resource].|99158527410001452|02693879|02693879|
Biomedical engineering [electronic resource].|99161966800401452|00063398|00063398|
Biomedical imaging and intervention journal.|99157344240001452|18235530|18235530|
Biomedical instrumentation &amp; technology / Association for the Advancement of Medical Instrumentation.|99158193220001452|08998205|08998205|
Biomedical journal.|99157417790001452|23194170|23194170|
Biomedical materials.|99161863242901452|17486041|17486041|
Biomedical microdevices [electronic resource].|99158517510001452|13872176|13872176|
Biomedical optics express [electronic resource].|99157401140001452|21567085|21567085|
Biomedical papers of the Medical Faculty of the University PalackÃ½, Olomouc, Czechoslovakia.|99157492490001452|12138118|12138118|
Biomedical physics &amp; engineering express.|99161875759101452|20571976|20571976|
Biomedical reports.|99161826718701452|20499434|20499434|
Biomedical research.|99157853920001452|0970938X|0970938X|
Biomedical research.|99157359470001452|03886107|03886107|
Biomedical signal processing and control.|99161967439901452|17468094|17468094|
Biomedicine &amp; pharmacotherapy [electronic resource].|99158445260001452|07533322|07533322|
Biomedicine [electronic resource].|99161809148901452|22118020|22118020|
Biometrical journal = Biometrische Zeitschrift .|99158528940001452|03233847|03233847|
Biometrics [electronic resource] : journal of the International Biometric Society.|99157804860001452|0006341X|0006341X|
Biomolecular NMR assignments [electronic resource].|991618196501452|18742718|18742718|
Biomolecular concepts.|99157856350001452|18685021|18685021|
Biomolecular detection and quantification.|99161833758001452|22147535|22147535|
Biomolecules &amp; therapeutics.|99161919108901452|19769148|19769148|
Biomolecules.|99157413480001452|2218273X|2218273X|
BiomÃ©dica : revista del Instituto Nacional de Salud.|99157359060001452|01204157|01204157|
Bioorganic &amp; medicinal chemistry [electronic resource].|99161967400101452|09680896|09680896|
Bioorganic &amp; medicinal chemistry letters [electronic resource].|99161967493301452|0960894X|0960894X|
Bioorganic chemistry [electronic resource].|99161967504801452|00452068|00452068|
Biopharm international.|99161865821901452|1542166X|1542166X|
Biopharmaceutics &amp; drug disposition [electronic resource].|99158528540001452|01422782|01422782|
Biophysical chemistry.|99161967380101452|03014622|03014622|
Biophysical journal [electronic resource].|99157421490001452|00063495|00063495|
Biophysical reviews and letters [electronic resource].|99157804140001452|17930480|17930480|
Biopolimery i kletka.|99157365970001452|02337657|02337657|
Biopolymers.|99158529420001452|00063525|00063525|
Biopreservation and biobanking [electronic resource].|99157751140001452|19475535|19475535|
Bioprocess and biosystems engineering [electronic resource].|99158516620001452|16157591|16157591|
Bioresource technology [electronic resource].|99161967421601452|09608524|09608524|
Bioscience reports.|99157416620001452|01448463|01448463|
Bioscience trends.|99157858660001452|18817815|18817815|
Bioscience, biotechnology, and biochemistry.|99157243850001452|09168451|09168451|
Biosensors &amp; bioelectronics [electronic resource].|99161967535001452|09565663|09565663|
Biosensors [electronic resource].|99161967395101452|0265928X|0265928X|
Biosensors.|99157405420001452|20796374|20796374|
Biostatistics [electronic resource].|99157499650001452|14654644|14654644|
Biotechnic &amp; histochemistry [electronic resource].|99157803600001452|10520295|10520295|
Biotechniques : the international journal of life science methods.|991617765801452|07366205|07366205|
Biotechnology advances [electronic resource].|99161967441301452|07349750|07349750|
Biotechnology and applied biochemistry.|99161810030501452|08854513|08854513|
Biotechnology and bioengineering [electronic resource].|99158529350001452|00063592|00063592|
Biotechnology and bioprocess engineering.|99157492370001452|12268372|12268372|
Biotechnology journal.|99158527010001452|18606768|18606768|
Biotechnology letters [electronic resource].|99158517030001452|01415492|01415492|
Biotechnology progress [electronic resource].|99158484740001452|87567938|87567938|
Biotechnology reports.|99161778057701452|2215017X|2215017X|
BiotecnologÃ­a aplicada : revista de la Sociedad Iberolatinoamericana para Investigaciones sobre InterferÃ³n y BiotecnologÃ­a en Salud.|99157212530001452|08644551|08644551|
Bipolar disorders.|99157804700001452|13985647|13985647|
Birth : [electronic resource] issues in perinatal care.|99157804600001452|07307659|07307659|
Birth defects research. Part A, Clinical and molecular teratology.|99158529270001452|15420752|15420752|
Birth defects research. Part B, Developmental and reproductive toxicology.|99158527930001452|15429733|15429733|
Birth defects research. Part C, Embryo today : reviews.|99158527960001452|1542975X|1542975X|
Biyokimya dergisi [electronic resource].|99157357090001452|02504685|02504685|
Blood : journal of the American Society of Hematology.|99157514000001452|00064971|00064971|
Blood and lymphatic cancer : targets and therapy.|99157402480001452|11799889|11799889|
Blood cells, molecules &amp; diseases [electronic resource].|99161967409501452|10799796|10799796|
Blood coagulation and fibrinolysis [electronic resource].|99158505920001452|09575235|09575235|
Blood pressure [electronic resource].|99157803830001452|08037051|08037051|
Blood pressure monitoring [electronic resource].|99158506210001452|13595237|13595237|
Blood purification.|99157770640001452|02535068|02535068|
Blood research.|99157671470001452|2287979X|2287979X|
Blood reviews [electronic resource].|99158436770001452|0268960X|0268960X|
Blood transfusion.|99157385350001452|17232007|17232007|
Body image.|99161967621401452|17401445|17401445|
Body, space and technology journal.|99157344980001452|14709120|14709120|
Boletin del Museo de EntomologiÌ&#x81;a de la Universidad del Valle.|99134919220001452|19092822|19092822|
BoletiÌ&#x81;n Latinoamericano y del Caribe de plantas medicinales y aromaÌ&#x81;ticas.|99131479670001452|07177917|07177917|
BoletiÌ&#x81;n meÌ&#x81;dico del Hospital Infantil de MeÌ&#x81;xico.|99157483880001452|16651146|16651146|
BoletÃ­n Latinoamericano y del Caribe de plantas medicinales y aromÃ¡ticas [electronic resource].|99157370020001452|07177917|07177917|
Bone &amp; joint research.|99157412630001452|20463758|20463758|
Bone Reports.|99161871088001452|23521872|23521872|
Bone [electronic resource].|99158433280001452|87563282|87563282|
Bone marrow research.|99157394980001452|20902999|20902999|
Bone marrow transplantation [electronic resource].|99157719480001452|02683369|02683369|
Bone research.|99161783160001452|20954700|20954700|
BoneKEy reports.|99161811761501452|20476396|20476396|
Bosnian journal of basic medical sciences / UdruÅ¾enje basiÄ&#x8d;nih mediciniskih znanosti = Association of Basic Medical Sciences.|99157375180001452|15128601|15128601|
Brachytherapy [electronic resource].|99158434230001452|15384721|15384721|
Brain &amp; development.|99158432740001452|03877604|03877604|
Brain [electronic resource].|99157516370001452|00068950|00068950|
Brain and cognition.|99161967367701452|02782626|02782626|
Brain and development = No to hattatsu.|99157665480001452|00290831|00290831|
Brain and language.|99161967411001452|0093934X|0093934X|
Brain connectivity.|99157751580001452|21580014|21580014|
Brain imaging and behavior.|99161966798501452|19317557|19317557|
Brain impairment : a multidisciplinary journal of the Australian Society for the Study of Brain Impairment.|99157804590001452|14439646|14439646|
Brain informatics.|99161785758801452|21984018|21984018|
Brain injury [electronic resource] : BI.|99157802590001452|02699052|02699052|
Brain pathology.|99158527890001452|10156305|10156305|
Brain research bulletin [electronic resource].|99158432270001452|03619230|03619230|
Brain research.|99158433880001452|00068993|00068993|
Brain sciences.|99157418480001452|20763425|20763425|
Brain stimulation.|99158434650001452|1935861X|1935861X|
Brain structure and function [electronic resource].|99158517970001452|18632653|18632653|
Brain, behavior and evolution [electronic resource].|99157751960001452|00068977|00068977|
Brain, behavior, and immunity [electronic resource].|99158435480001452|08891591|08891591|
Brazilian dental journal [electronic resource].|99157331110001452|01036440|01036440|
Brazilian journal of biology = Revista brasileira de biologia.|99157346450001452|15196984|15196984|
Brazilian journal of medical and biological research [electronic resource] = publication of the AssociaÃ§Ã£o Brasileira de DivulgaÃ§Ã£o CientÃ­fica.|99157349070001452|0100879X|0100879X|
Brazilian journal of microbiology [electronic resource] : publication of the Sociedade Brasileira de Microbiologia.|99157346690001452|15178382|15178382|
Brazilian journal of otorhinolaryngology.|99157390490001452|18088694|18088694|
Brazilian journal of pharmaceutical sciences.|99157389820001452|19848250|19848250|
Brazilian oral research.|99157345290001452|18068324|18068324|
Breast cancer : the journal of the Japanese Breast Cancer Society.|99157666680001452|13406868|13406868|
Breast cancer research [electronic resource].|99157230750001452|14655411|14655411|
Breast cancer research and treatment [electronic resource].|99158518260001452|01676806|01676806|
Breast cancer.|99157370630001452|11782234|11782234|
Breast care [electronic resource].|99161958026801452|16613791|16613791|
Breast disease [electronic resource].|99157803030001452|08886008|08886008|
Breastfeeding medicine.|99157770190001452|15568253|15568253|
Breastfeeding review : professional publication of the Nursing Mothers' Association of Australia.|99158209600001452|07292759|07292759|
Breathe.|99157601950001452|18106838|18106838|
Briefings in bioinformatics [electronic resource].|99157649980001452|14675463|14675463|
Briefings in functional genomics.|99157770070001452|20412649|20412649|
British dental journal [electronic resource] : official journal of the British Dental Association : BDJ online.|99157719560001452|00070610|00070610|
British journal of anaesthesia : BJA.|99157515480001452|00070912|00070912|
British journal of audiology.|99161869968701452|03005364|03005364|
British journal of biomedical science.|99161950128701452|09674845|09674845|
British journal of cancer.|99157719370001452|00070920|00070920|
British journal of cardiac nursing.|99158209410001452|17496403|17496403|
British journal of clinical pharmacology [electronic resource] : BJCP.|99157780010001452|03065251|03065251|
British journal of community nursing.|99158192890001452|14624753|14624753|
British journal of dermatology.|99157801190001452|00070963|00070963|
British journal of diabetes &amp; vascular disease [electronic resource].|99160483050001452|14746514|14746514|
British journal of educational psychology [electronic resource].|99157802040001452|00070998|00070998|
British journal of haematology [electronic resource].|99157801150001452|00071048|00071048|
British journal of health psychology [electronic resource].|99157801330001452|1359107X|1359107X|
British journal of medical and surgical urology [electronic resource].|99158434710001452|18759742|18759742|
British journal of medical practitioners.|99157363590001452|17578515|17578515|
British journal of neurosurgery [electronic resource].|99157801800001452|02688697|02688697|
British journal of nursing : BJN.|99157633020001452|09660461|09660461|
British journal of ophthalmology [electronic resource].|99157228760001452|00071161|00071161|
British journal of oral and maxillofacial surgery [electronic resource].|99158436020001452|02664356|02664356|
British journal of pain.|99161875360801452|20494637|20494637|
British journal of perioperative nursing : the journal of the National Association of Theatre Nurses.|99158192860001452|14671026|14671026|
