Title	MMSID	ISSN	ISSN1	ISSN		
Colorectal disease: the official journal of the Association of Coloproctology of Great Britain and Ireland.	99157801420001452	1462-8910	1463-1318	1462-8910		
Combination products in therapy.	99161863762801452	2195-5859	2190-9180	2195-5859		
Combinatorial chemistry and high throughput screening.	99162122859401452	1386-2073	1875-5402	1386-2073		
Combustion and Flame.	99161967512401452	0010-2180	1556-2921	0010-2180		
Communicable diseases intelligence quarterly report.		1447-4514		1447-4514		
Communicating nursing research.		0160-1652		0160-1652		
Communication & medicine.	99158202480001452	1612-1783	1613-3625	1612-1783		
Communication disorders quarterly.	99158193790001452	1525-7401	1538-4837	1525-7401		
Communications in agricultural and applied biological sciences.		1379-1176		1379-1176		
Community dental health.	99161769794901452	0265-539X		0265-539X		
Community dentistry and oral epidemiology.	99158527510001452	0301-5661	1600-0528	0301-5661		
Community health studies.	99162014510201452	0314-9021		0314-9021		
Community mental health journal.	99158210090001452	0010-3853	1573-2789	0010-3853		
Community practitioner : the journal of the Community Practitioners' & Health Visitors' Association.	99161966792801452	1462-2815		1462-2815		
Comparative and functional genomics. .	99157360390001452	1531-6912	1532-6268	1531-6912		
Comparative biochemistry and physiology - Part D: Genomics and proteomics.	99161967611401452	1744-117X	1878-0407	1744-117X		
Comparative biochemistry and physiology Part - B: biochemistry and molecular biology.	99161967543201452	1096-4959	1879-1107	1096-4959		
Comparative biochemistry and physiology Part - C: Toxicology and pharmacology.	99161967383001452	1532-0456	1878-1659	1532-0456		
Comparative biochemistry and physiology -Part A : Molecular and Integrative physiology.	99161967490301452	1095-6433	1531-4332	1095-6433		
Comparative hepatology.	99157211620001452		1476-5926			
"Comparative immunology, microbiology and infectious disease."	99158433500001452	0147-9571	1878-1667	0147-9571		
Comparative medicine.	99157563150001452	1532-0820		1532-0820		
Compendium of continuing education in dentistry.	 	1548-8578	2158-1797	1548-8578		
Complementary health practice review.	99161980016201452	1533-2101	1552-3845	1533-2101		
Complementary therapies in clinical practice.	99158432490001452	1744-3881	1873-6947	1744-3881		
Complementary therapies in medicine.	99158432760001452	0965-2299	1873-6963	0965-2299		
Comprehensive physiology.			2040-4603			
Comprehensive psychiatry.	99158435460001452	0010-440X	1532-8384	0010-440X		
Comprehensive reviews in food science and food safety.	99162017257801452	1541-4337		1541-4337		
Comptes rendus - Biologies.	99161967485001452	1631-0691	1768-3238	1631-0691		
Computational and Mathematical methods in medicine.	99157381630001452	1748-670X	1748-6718	1748-670X		
Computational and Structural biotechnology journal.	99157417530001452		2001-0370			
Computational biology and chemistry.	99161967429601452	1476-9271	1476-928X	1476-9271		
Computational intelligence and neuroscience.	99157354790001452	1687-5265	1687-5273	1687-5265		
Computational systems bioinformatics.		1752-7791		1752-7791		
Computer aided surgery : official journal of the International Society for Computer Aided Surgery.	99158476920001452	1092-9088	1097-0150	1092-9088		
Computer methods and programs in biomedicine.	99158435810001452	0169-2607	1872-7565	0169-2607		
Computer methods in biomechanics and biomedical engineering.	 	1025-5842	1476-8259	1025-5842		
Computer methods in biomechanics and biomedical engineering: Imaging and Visualization.	 	2168-1163	2168-1171	2168-1163		
Computerized medical imaging and graphics: the official journal of the Computerized medical Imaging Society.	99158434350001452	0895-6111	1879-0771	0895-6111		
Computers in biology and medicine.	99158433070001452	0010-4825	1879-0534	0010-4825		
Computers in libraries.	99157817650001452		1041-7915			
Computers in nursing.	99158506380001452	0736-8593	2376-3892	0736-8593		
"Computers, informatics, nursing : CIN."	99158507120001452	1538-2931	1538-9774	1538-2931		
Concepts in magnetic resonance.	99158529180001452	1043-7347	1099-0534	1043-7347		
Concepts in magnetic resonance. Bridging education and research.	99158527260001452	1546-6086	1552-5023	1546-6086		
Concepts in magnetic resonance. Magnetic resonance engineering.	99158528490001452	1552-5031	1552-504X	1552-5031		
Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society.		1557-170X		1557-170X		
Confinia Cephalalgica.		1122-0279		1122-0279		
Congenital anomalies.	99157244680001452	0914-3505	1741-4520	0914-3505		
Congenital heart disease.	99157818990001452	1747-079X	1747-0803	1747-079X		
Congestive heart failure.	99162017254901452	1527-5299	1751-7133	1527-5299		
Connecticut medicine.		0010-6178		0010-6178		
Connecticut nursing news.	99158193030001452		0278-4092			
Connective tissue research.	99157817770001452	0300-8207	1607-8438	0300-8207		
Consciousness and cognition.	99161967430001452	1053-8100	1090-2376	1053-8100		
Conservation biology : the journal of the Society for Conservation Biology.	99157817890001452	0888-8892	1523-1739	0888-8892		
Consultant.	99162082664801452	0010-7069		0010-7069		
Consultant pharmacist.		0888-5109		0888-5109		
Consumer product safety review/U.S. Consumer Product Safety Commission.	99157798970001452	1555-1172	1555-1180	1555-1172		
Consumer reports.	99158255870001452	0010-7174		0010-7174		
Contact dermatitis.	99157817850001452	0105-1873	1600-0536	0105-1873		
Contact lens & anterior eye: the journal of the British Contact Lens Association.	99158433010001452	1367-0484	1476-5411	1367-0484		
Contagion.	99157219040001452	1075-7201	1930-1200	1075-7201		
Contemporary clinical trials.	99158434530001452	1551-7144	1559-2030	1551-7144		
Contemporary clinical trials communications.	99161967467701452	2451-8654		2451-8654		
Contemporary critical care.	99161941797901452		1543-9003			
Contemporary diagnostic radiology.			1938-1395			
Contemporary endocrinology.		0196-8653		0196-8653		
Contemporary hypnosis.	99157818310001452	0960-5290	É?ˇ1557-0711	0960-5290		
Contemporary issues and ideas in social sciences.	99161954369601452		1817-4604			
Contemporary neurosurgery.	99158507710001452	0163-2108	2163-8241	0163-2108		
Contemporary nurse.	99157860720001452	1037-6178		1037-6178		
Contemporary ob/gyn.	99158192450001452	0090-3159	2150-6264	0090-3159		
Contemporary pediatrics.	99158192340001452	8750-0507	2150-6345	8750-0507		
Contemporary rehab: the magazine of the National Rehabilitation Association.	99158208670001452	1075-9298	0279-5597	1075-9298		
Contemporary spine surgery.	99161941799001452	1527-4268	2161-1181	1527-4268		
Contemporary urology.	99157455570001452		1042-2250			
Continuing cardiology education.	99162017258701452		2059-1594			
"Continuing education in anaesthesia, critical care & pain."	99157649840001452	1743-1816	1743-1824	1743-1816		
Continuum: lifelong learning in neurology.	99159247070001452	1080-2371	1538-6899	1080-2371		
Contracepcion y menopausia.		1139-4773		1139-4773		
Contraception.	99158435370001452	0010-7824	1879-0518	0010-7824		
Contraception.	99158435370001452	0010-7824	1879-0518	0010-7824		
Contraceptive technology update.			0027-4726			
Contract pharma.	 	1544-3469	2380-6559	1544-3469		
Contrast media and molecular imaging.	99158528290001452	1555-4309	1555-4317	1555-4309		
Contributions to gynecology and obstetrics.	 	0304-4246	1662-2901	0304-4246		
Contributions to microbiology.	 	1420-9519	1662-291X	1420-9519		
Contributions to nephrology.	 	0302-5144	1662-2782	0302-5144		
Contributions to oncology / Beitrage zur Onkologie.	 	0250-3220	1662-2928	0250-3220		
COPD: journal of Chronic obstructive pulmonary disease.	99157817810001452	1541-2555	1541-2563	1541-2555		
Cor et vasa.	99157439980001452	0010-8650	1803-7712	0010-8650		
Core Evidence.	99157378490001452	1555-1741	1555-175X	1555-1741		
Cornea.	99158507140001452	0277-3740	1536-4798	0277-3740		
Cornell journal of law and public policy.	99158464990001452	1069-0565		1069-0565		
Cornell law review.	99158457270001452	0010-8847		0010-8847		
Coronary artery disease.	99158507410001452	0954-6928	1473-5830	0954-6928		
Coronary health care.	99161967445001452	1362-3265	1532-2025	1362-3265		
Cortex.	99161967465801452	0010-9452	1973-8102	0010-9452		
Cost Effectiveness and resource allocation.	99157212150001452		1478-7547			
Counselling and psychotherapy journal.			0264-9977			
Counselling and psychotherapy research.	99157817440001452		1746-1405			
CPD Bulletin clinical biochemistry.		1367-8930		1367-8930		
CPT: pharmacometrics and systems pharmacology.	99157417080001452		2163-8306			
CQ magazine.	99162069358001452	1521-5997		1521-5997		
"CQ weekly. Congressional Quarterly, inc & CQ Roll Call (Firm)."	99140531290001452	1521-5997	1942-5643	1521-5997		
Cranio : the journal of craniomandibular practice.	99161950128501452	0886-9634		0886-9634		
Craniomaxillofacial trauma and reconstruction.	99161958024201452	1943-3875	1943-3883	1943-3875		
Creative nursing.	99157817920001452	1078-4535		1078-4535		
Criminal behaviour and mental health: CBMH.	99157818280001452	0957-9664	1471-2857	0957-9664		
Criminal justice ethics.	99157818880001452	0731-129X	1937-5948	0731-129X		
Criminology & public policy.	99158467640001452	1538-6473	1745-9133	1538-6473		
Criminology.	99158467340001452	1745-9125	0011-1384	1745-9125		
Crisis.	99158253280001452	0227-5910		0227-5910		
Critical care.	99157229610001452	1364-8535	1466-609X	1364-8535		
Critical care alert.	99158191150001452	1067-9502	1945-1555	1067-9502		
Critical care and resuscitation : journal of the Australasian Academy of Critical Care medicine.		1441-2772		1441-2772		
Critical care and Shock.	99161966791201452	1410-7767		1410-7767		
Critical care clinics.						
Critical care clinics.	99158432820001452	0749-0704	1557-8232	0749-0704		
Critical care medicine.	99158506500001452	0090-3493	1530-0293	0090-3493		
Critical care nurse.	99157449610001452	0279-5442	1940-8250	0279-5442		
Critical care nursing clinics of North America.	 	0899-5885	1558-3481	0899-5885		
Critical care nursing quarterly.	99158192660001452	0887-9303	1550-5111	0887-9303		
Critical pathways in cardiology.	99161941797001452	1535-282X	1535-2811	1535-282X		
Critical public health.	99157818720001452	0958-1596	1469-3682	0958-1596		
Critical reviews in analytical chemistry.	99157818100001452	1040-8347	1547-6510	1040-8347		
Critical reviews in biochemistry and molecular biology.	99157818080001452	1040-9238	1549-7798	1040-9238		
Critical reviews in biomedical engineering.		0278-940X		0278-940X		
Critical reviews in biotechnology.	99157818570001452	0738-8551	1549-7801	0738-8551		
Critical reviews in clinical laboratory sciences.	99157818150001452	1040-8363	1549-781X	1040-8363		
Critical reviews in environmental science and technology.	991618233801452	1064-3389	1547-6537	1064-3389		
Critical reviews in Eukaryotic gene Expression.		1045-4403		1045-4403		
Critical reviews in food science and nutrition.	 	1040-8398	1549-7852	1040-8398		
Critical reviews in immunology.		1040-8401		1040-8401		
Critical reviews in microbiology.	99157818050001452	1040-841X	1549-7828	1040-841X		
Critical reviews in neurobiology.		0892-0915		0892-0915		
Critical reviews in oncogenesis.	 	0893-9675	2162-6448	0893-9675		
Critical reviews in oncology/hematology.	99158434960001452	1040-8428	1879-0461	1040-8428		
Critical reviews in oral biology and medicine: an official publication of the American Association of Oral Biologists.	99157491140001452	1045-4411	1544-1113	1045-4411		
Critical reviews in physical and rehabilitation medicine.	 	0896-2960	2162-6553	0896-2960		
Critical reviews in therapeutic drug carrier systems.	 	0743-4863	2162-660X	0743-4863		
Critical reviews in toxicology.	99157818030001452	1040-8444	1547-6898	1040-8444		
Critical Ultrasound journal.	99157229150001452	2036-3176	2036-7902	2036-3176		
Croatian medical journal.	99157331920001452	0353-9504	1332-8166	0353-9504		
Cryo letters.	99162122858401452	0143-2044		0143-2044		
Cryobiology.	99161967642001452	0011-2240	1090-2392	0011-2240		
Crystal growth & design.						
Cuadernos de bio???tica : revista oficial de la Asociaci??n Espa??Òola de Bio???tica y ?É??tica M???dica.	99157320330001452	1132-1989		1132-1989		
Cuadernos de medicina reproductiva.		1135-0970		1135-0970		
Cultura de los cuidados: revista de enfermeri???&#x81;a y humanidades/Seminario de Historia y Antropologi???&#x81.	"a de los Cuidados enfermeros, Departamento de enfermeri???&#x81"	"a, Universidad de Alicante"		"a, Universidad de Alicante"		
Cultural diversity and Ethnic minority psychology.	99158253620001452	1099-9809	1939-0106	1099-9809		
"Culture, health & sexuality."	99157818250001452	1369-1058	1464-5351	1369-1058		
"Culture, medicine and psychiatry."	99157817420001452	0165-005X	1573-076X	0165-005X		
Curationis.	99157405890001452	0379-8577	2223-6279	0379-8577		
Current Aging science.	 	1874-6098	1874-6128	1874-6098		
Current allergy and asthma reports.	99158930730001452	1529-7322	1534-6315	1529-7322		
Current allergy and clinical immunology.	99157514140001452	1609-3607		1609-3607		
Current Alzheimer research.	 	1567-2050	1875-5828	1567-2050		
Current anaesthesia and critical care.	99158433190001452	0953-7112	1532-2033	0953-7112		
Current angiogenesis.	 	2211-5528	2211-5536	2211-5528		
Current anthropology.	99158298830001452	0011-3204	1537-5382	0011-3204		
Current Atherosclerosis reports.	 	1523-3804	1534-6242	1523-3804		
Current bioactive compounds.	 	1573-4072	1875-6646	1573-4072		
Current bioinformatics.		1574-8936		1574-8936		
Current biology : CB.	99161967399201452	0960-9822	1879-0445	0960-9822		
Current biotechnology.	 	2211-5501	2211-551X	2211-5501		
Current Bladder Dysfunction reports.	 	1931-7212	1931-7220	1931-7212		
Current breast cancer reports.	 	1943-4588	1943-4596	1943-4588		
Current cancer drug targets.	 	1568-0096	1873-5576	1568-0096		
Current cancer research.		0940-0745		0940-0745		
Current cancer therapy reviews.	 	1573-3947	1875-6301	1573-3947		
Current cardiology reports.	 	1523-3782	1534-3170	1523-3782		
Current cardiology reviews.	99158798960001452	1573-403X	1875-6557	1573-403X		
Current cardiovascular imaging reports.	 	1941-9066	1941-9074	1941-9066		
Current cardiovascular risk reports.	 	1932-9520	1932-9563	1932-9520		
Current chemical biology.	 	2212-7968	1872-3136	2212-7968		
Current chemical genomics.	99157216360001452		1875-3973			
Current chemical genomics and translational medicine.	99161764447501452		2213-9885			
Current clinical neurology.		1559-0585		1559-0585		
Current clinical pharmacology.		1574-8847		1574-8847		
Current Colorectal cancer reports.	 	1556-3790	1556-3804	1556-3790		
Current computer-Aided drug design.	 	1573-4099	1875-6697	1573-4099		
Current controlled trials in cardiovascular medicine.	99157347720001452	1468-6708	1468-6694	1468-6708		
Current dermatology reports.			2162-4933			
Current diabetes reports.	 	1534-4827	1539-0829	1534-4827		
Current diabetes reviews.	 	1573-3998	1875-6417	1573-3998		
Current diagnostic pathology.	99161967426701452	0968-6053	1532-2041	0968-6053		
Current drug Abuse reviews.	 	1874-4737	1874-4745	1874-4737		
Current drug delivery.	 	1567-2018	1875-5704	1567-2018		
Current drug discovery technologies.	 	1570-1638	1875-6220	1570-1638		
Current drug metabolism.	 	1389-2002	1875-5453	1389-2002		
Current drug safety.	99162122859901452	1574-8863		1574-8863		
Current drug targets.	 	1389-4501	1873-5592	1389-4501		
Current drug therapy.	99162122859801452	1574-8855	1065-7630	1574-8855		
Current environmental health reports.			2196-5412			
Current enzyme Inhibition.	 	1573-4080	1875-6662	1573-4080		
Current Eye research.	99157819440001452	0271-3683	1460-2202	0271-3683		
Current eye research.	99157819440001452	1460-2202	0271-3683	1460-2202		
Current Fungal infection reports.	 	1936-3761	1936-377X	1936-3761		
Current gastroenterology reports.	 	1522-8037	1534-312X	1522-8037		
Current gene therapy.	 	1566-5232	1875-5631	1566-5232		
Current genetics.	99158908500001452	0172-8083	1432-0983	0172-8083		
Current genomics.	99161958024101452	1389-2029	1875-5488	1389-2029		
Current geriatrics reports.			2196-7865			
Current gynecologic oncology.		2081-1632		2081-1632		
Current heart Failure reports.	 	1546-9530	1546-9549	1546-9530		
Current hematologic Malignancy reports.	 	1558-8211	1558-822X	1558-8211		
Current hepatitis reports.	 	1540-3416	1541-0706	1540-3416		
Current HIV research.	 	1570-162X	1873-4251	1570-162X		
Current HIV/AIDS reports.	 	1548-3568	1548-3576	1548-3568		
Current hypertension reports.	 	1522-6417	1534-3111	1522-6417		
Current hypertension reviews.	99162122858301452	1573-4021	1875-6506	1573-4021		
Current immunology reviews.	99162122856401452	1573-3955	1875-631X	1573-3955		
Current infectious disease reports.	 	1523-3847	1534-3146	1523-3847		
Current issues in molecular biology.	99162001437801452	1467-3037		1467-3037		
Current issues in pharmacy and medical sciences.	99161835154901452	2084-980X		2084-980X		
Current medical imaging reviews.	 	1573-4056	1875-6603	1573-4056		
Current medical research and opinion.	99158476970001452	0300-7995	1473-4877	0300-7995		
Current medicinal chemistry.	 	0929-8673	1875-533X	0929-8673		
Current medicine research and practice.		2352-0817		2352-0817		
Current metabolomics.	 	2213-235X	2213-2368	2213-235X		
Current microbiology.	99158517400001452	0343-8651	1432-0991	0343-8651		
Current molecular imaging.	 	2211-5552	2211-5544	2211-5552		
Current molecular medicine.	 	1566-5240	1875-5666	1566-5240		
Current molecular pharmacology.	99162122857901452	1874-4672	1874-4702	1874-4672		
Current nanoscience.	 	1573-4137	1875-6786	1573-4137		
Current neurobiology.	 	0975-9042	0976-1705	0975-9042		
Current neurology and neuroscience reports.	99160710850001452	1528-4042	1534-6293	1528-4042		
Current neuropharmacology.	99161958023901452	1570-159X	1875-6190	1570-159X		
Current neurovascular research.	 	1567-2026	1875-5739	1567-2026		
Current nutrition and Food science.	 	1573-4013	2212-3881	1573-4013		
Current nutrition reports.			2161-3311			
Current obesity reports.			2162-4968			
Current obstetrics and gynaecology.	99161967556101452	0957-5847	1532-205X	0957-5847		
Current obstetrics and gynecology reports.			2161-3303			
Current oncology.	99157358950001452	1198-0052	1718-7729	1198-0052		
Current oncology reports.	 	1523-3790	1534-6269	1523-3790		
Current ophthalmology reports.			2167-4868			
Current opinion in allergy and clinical immunology.	99157209800001452	1528-4050	1473-6322	1528-4050		
Current opinion in anaesthesiology.	99158506130001452	0952-7907	1473-6500	0952-7907		
Current opinion in behavioral sciences.	99161967487601452		2352-1546			
Current opinion in biotechnology.	99158434080001452	0958-1669	1879-0429	0958-1669		
Current opinion in cardiology.	99158507680001452	0268-4705	1531-7080	0268-4705		
Current opinion in cell biology.	99158433740001452	0955-0674	1879-0410	0955-0674		
Current opinion in chemical biology.	99161967486401452	1367-5931	1879-0402	1367-5931		
Current opinion in clinical nutrition and metabolic care.	99158506230001452	1363-1950	1473-6519	1363-1950		
Current opinion in Colloid and Interface science.	99161967534301452	1359-0294	1879-0399	1359-0294		
Current opinion in critical care.	99158507000001452	1070-5295	1531-7072	1070-5295		
Current opinion in endocrinology and diabetes.	99158506110001452	1068-3097	1531-7064	1068-3097		
"Current opinion in endocrinology, diabetes, and obesity."	99161941802301452	1752-296X	1752-2978	1752-296X		
Current opinion in gastroenterology.	99158506860001452	0267-1379	1531-7056	0267-1379		
Current opinion in genetics and development.	99158434360001452	0959-437X	1879-0380	0959-437X		
Current opinion in hematology.	99158507690001452	1065-6251	1531-7048	1065-6251		
Current opinion in HIV and AIDS.	99161941798901452	1746-630X	1746-6318	1746-630X		
Current opinion in immunology.	99158447560001452	0952-7915	1879-0372	0952-7915		
Current opinion in infectious diseases.	99158507320001452	0951-7375	1473-6527	0951-7375		
Current opinion in lipidology.	99158505900001452	0957-9672	1473-6535	0957-9672		
Current opinion in microbiology.	99158436500001452	1369-5274	1879-0364	1369-5274		
Current opinion in nephrology and hypertension.	99158506850001452	1062-4821	1473-6543	1062-4821		
Current opinion in neurobiology.	99158434390001452	0959-4388	1873-6882	0959-4388		
Current opinion in neurology.	99158506020001452	1350-7540	1473-6551	1350-7540		
Current opinion in obstetrics & gynecology.	99158506630001452	1040-872X	1473-656X	1040-872X		
Current opinion in oncology.	99158506530001452	1040-8746	1531-703X	1040-8746		
Current opinion in ophthalmology.	99158506520001452	1040-8738	1531-7021	1040-8738		
Current opinion in organ transplantation.	99158507520001452	1087-2418	1531-7013	1087-2418		
Current opinion in orthopaedics.	99158506420001452	1041-9918	1531-7005	1041-9918		
Current opinion in otolaryngology & head and neck surgery.	99158506060001452	1068-9508	1531-6998	1068-9508		
Current opinion in pediatrics.	99158506470001452	1040-8703	1531-698X	1040-8703		
Current opinion in pharmacology.	99158449140001452	1471-4892	1471-4973	1471-4892		
Current opinion in plant biology.	99161967645501452	1369-5266	1879-0356	1369-5266		
Current opinion in psychiatry.	99158507350001452	0951-7367	1473-6578	0951-7367		
Current opinion in pulmonary medicine.	99158507340001452	1070-5287	1531-6971	1070-5287		
Current opinion in rheumatology.	99158506510001452	1040-8711	1531-6963	1040-8711		
Current opinion in Structural biology.	99161967649901452	0959-440X	1879-033X	0959-440X		
Current opinion in supportive and palliative care.	99161941800401452	1751-4258	1751-4266	1751-4258		
Current opinion in urology.	99158506750001452	0963-0643	1473-6586	0963-0643		
Current opinion in Virology.	99161967535201452	1879-6257	1879-6265	1879-6257		
Current orthopaedic practice.	99161941801801452	1940-7041	1941-7551	1940-7041		
Current osteoporosis reports.	 	1544-1873	1544-2241	1544-1873		
Current paediatrics.	99161967556001452	0957-5839	1532-2076	0957-5839		
Current pain and headache reports.	 	1531-3433	1534-3081	1531-3433		
Current pediatric research.	99161966797501452	0971-9032		0971-9032		
Current pediatric reviews.	 	1573-3963	1875-6336	1573-3963		
Current pharmaceutical analysis.	 	1573-4129	1875-676X	1573-4129		
Current pharmaceutical biotechnology.	 	1389-2010	1873-4316	1389-2010		
Current pharmaceutical design.	 	1381-6128	1873-4286	1381-6128		
Current pharmacogenomics and Personalized medicine.	 	1875-6921	1875-6913	1875-6921		
Current problems in cancer.	99158435980001452	0147-0272	1535-6345	0147-0272		
Current problems in cardiology.	99158433160001452	0146-2806	1535-6280	0146-2806		
Current problems in dermatology (Switzerland).	 	1421-5721	1662-2944	1421-5721		
Current problems in diagnostic radiology.	99158433330001452	0363-0188	1535-6302	0363-0188		
Current problems in pediatric and adolescent health care.	99158434090001452	1538-5442	1538-3199	1538-5442		
Current problems in surgery.	99158436130001452	0011-3840	1535-6337	0011-3840		
Current protein and Peptide science.	 	1389-2037	1875-5550	1389-2037		
Current proteomics.		1570-1646		1570-1646		
Current protocols in bioinformatics.	 	1934-3396	1934-340X	1934-3396		
Current protocols in cell biology.	 	1934-2500	1934-2616	1934-2500		
Current protocols in chemical biology.			2160-4762			
Current protocols in cytometry.	 	1934-9297	1934-9300	1934-9297		
Current protocols in Essential laboratory techniques.			1948-3430			
Current protocols in human genetics.	 	1934-8266	1934-8258	1934-8266		
Current protocols in immunology.	 	1934-3671	1934-368X	1934-3671		
Current protocols in microbiology.	 	1934-8525	1934-8533	1934-8525		
Current protocols in molecular biology.	 	1934-3639	1934-3647	1934-3639		
Current protocols in mouse biology.			2161-2617			
Current protocols in neuroscience.	 	1934-8584	1934-8576	1934-8584		
Current protocols in Nucleic Acid chemistry.	 	1934-9270	1934-9289	1934-9270		
Current protocols in pharmacology.	 	1934-8282	1934-8290	1934-8282		
Current protocols in protein science.	 	1934-3655	1934-3663	1934-3655		
Current protocols in Stem cell biology.	 	1941-7322	1938-8969	1941-7322		
Current protocols in toxicology.	 	1934-9254	1934-9262	1934-9254		
Current psychiatry.	99157529180001452	1537-8276		1537-8276		
Current psychiatry reports.	 	1523-3812	1535-1645	1523-3812		
Current psychiatry reviews.	 	1573-4005	1875-6441	1573-4005		
Current psychopharmacology.	 	2211-5560	2211-5579	2211-5560		
Current radiology reports.			2167-4825			
Current radiopharmaceuticals.	99162122857801452	1874-4710	1874-4729	1874-4710		
Current research in social psychology.	99157403920001452		1088-7423			
Current research in translational medicine.	99161967489901452	2452-3186		2452-3186		
Current research in Tuberculosis.	99157761810001452	1819-3366	2152-3363	1819-3366		
Current research: Concussion.	 	2368-0520	2368-0539	2368-0520		
Current respiratory care reports.			2161-332X			
Current respiratory medicine reviews.	99162122856801452	1573-398X	1875-6387	1573-398X		
Current reviews in Musculoskeletal medicine.	99157487760001452	1935-973X	1935-9748	1935-973X		
Current rheumatology reports.	99158930720001452	1523-3774	1534-6307	1523-3774		
Current rheumatology reviews.	 	1573-3971	1875-6360	1573-3971		
Current signal transduction therapy.	99162122860001452	1574-3624		1574-3624		
Current sports medicine reports.	99161941796601452	1537-890X	1537-8918	1537-890X		
Current Stem cell research and therapy.		1574-888X		1574-888X		
Current therapeutic research.	99157421380001452	0011-393X	1879-0313	0011-393X		
Current tissue engineering.	 	2211-5420	2211-5439	2211-5420		
Current topics in behavioral neurosciences.	 	1866-3370	1866-3389	1866-3370		
Current topics in developmental biology.	99161967494701452	0070-2153	1557-8933	0070-2153		
Current topics in medicinal chemistry.	 	1568-0266	1873-4294	1568-0266		
Current topics in membranes.		1063-5823		1063-5823		
Current topics in microbiology and immunology.	 	0070-217X	2196-9965	0070-217X		
Current topics in Nutraceutical research.	99157844730001452	1540-7535		1540-7535		
Current topics in Peptide and protein research.		0972-4524		0972-4524		
Current topics in pharmacology.		0972-4559		0972-4559		
Current topics in toxicology.		0972-8228		0972-8228		
Current treatment options in cardiovascular medicine.	 	1092-8464	1534-3189	1092-8464		
Current treatment options in neurology.	 	1092-8480	1534-3138	1092-8480		
Current treatment options in oncology.	99158930710001452	1527-2729	1534-6277	1527-2729		
Current trends in biotechnology and pharmacy.	99157630870001452	0973-8916	2230-7303	0973-8916		
Current trends in immunology.		0972-4567		0972-4567		
Current tropical medicine reports.			2196-3045			
Current urology.	99161958023801452	1661-7649	1661-7657	1661-7649		
Current urology reports.	 	1527-2737	1534-6285	1527-2737		
Current vascular pharmacology.	 	1570-1611	1875-6212	1570-1611		
Current women's health reviews.	99162122856601452	1573-4048	1875-6581	1573-4048		
Currents in pharmacy teaching and learning.	99161967398201452	1877-1297		1877-1297		
Cutaneous and ocular toxicology.	99158476800001452	1556-9527	1556-9535	1556-9527		
Cutis.	 	0011-4162	2326-6929	0011-4162		
CVD prevention and control.	99158435340001452	1875-4570	1875-4562	1875-4570		
CyberPsychology and behavior.	99157819680001452	1094-9313	1557-8364	1094-9313		
"Cyberpsychology, behavior and social networking."	99157770660001452	2152-2715	2152-2723	2152-2715		
Cytogenetic and genome research.	99157751160001452	1424-8581	1424-859X	1424-8581		
Cytojournal.	99157229180001452	0974-5963	1742-6413	0974-5963		
Cytokine.	99161967411401452	1043-4666	1096-0023	1043-4666		
Cytokine & growth factor reviews.						
Cytokine and growth Factor reviews.	99158436750001452	1359-6101	1879-0305	1359-6101		
Cytometry (continued by Parts A and B).	99162000810401452	0196-4763	É?ˇ1097-0320	0196-4763		
Cytometry Part B - Clinical cytometry.	99157792320001452	1552-4949	1552-4957	1552-4949		
"Cytometry. Part A : the journal of the International Society for Analytical Cytology,."	99158527810001452	1552-4922	1552-4930	1552-4922		
Cytopathology.	99157817280001452	0956-5507	1365-2303	0956-5507		
Cytoskeleton.	99158527400001452	1949-3584	1949-3592	1949-3584		
Cytotechnology.	99161958023701452	0920-9069	1573-0778	0920-9069		
Cytotherapy.	99157818520001452	1465-3249	1477-2566	1465-3249		
Dalton transactions : an international journal of inorganic chemistry.	99157514090001452	1477-9226	1477-9234	1477-9226		
Danish medical journal.			2245-1919			
Dansk medicinhistorisk ???rbog.		0084-9588		0084-9588		
"DARU, journal of pharmaceutical sciences."	99157211930001452	1560-8115	2008-2231	1560-8115		
Das gesundheitswesen.	99158530380001452	0941-3790	1439-4421	0941-3790		
Database.	99157817840001452	0162-4105	0146-4422	0162-4105		
Database : the journal of biological databases and curation.	99157362060001452		1758-0463			
Deafness & education international: the journal of the British  Association of Teachers of the Deaf.	99158192750001452	1464-3154	1557-069X	1464-3154		
Death studies.	99157819330001452	0748-1187	1091-7683	0748-1187		
Delaware medical journal.		0011-7781		0011-7781		
Dementia.	99158518640001452	1471-3012	1741-2684	1471-3012		
Dementia and geriatric cognitive disorders.	99157770550001452	1420-8008	1421-9824	1420-8008		
Dementia and geriatric cognitive disorders Extra.	99157416700001452		1664-5464			
Demography.	99158176180001452	0070-3370	1533-7790	0070-3370		
Dengue Bulletin.		1020-895X		1020-895X		
Dental abstracts:  a selection of world dental literature.	99158434600001452	0011-8486	1878-0547	0011-8486		
Dental and medical problems.	99162001438201452	1644-387X		1644-387X		
Dental assistant : journal of American Dental Assistants Association.	99158192310001452	1088-3886		1088-3886		
Dental assistant: journal of the American Dental Assistants Association.	99158192310001452		1088-3886			
Dental Cadmos.		0011-8524		0011-8524		
Dental clinics of North America.	99158434770001452	0011-8532	1558-0512	0011-8532		
Dental historian : Lindsay Club newsletter.		0958-6687		0958-6687		
Dental materials : official publication of the Academy of Dental Materials.	99158432700001452	0109-5641	1879-0097	0109-5641		
Dental materials journal.	99157563210001452	0287-4547	1881-1361	0287-4547		
