Title,MMSID,ISSN,ISSN1,,
Emotional and behavioural difficulties.,99158218710001400,1363-2752,1741-2692,,
Employment & earnings.,99157793070001400,0013-6840,,,
EMS magazine.,99162011063201400,,1946-9365,,
EMS product news.,99158208600001400,1935-1445,1085-8522,,
EMS world.,99162069350301400,2158-7833,2159-3078,,
Encephale.,,0013-7006,,,
Endeavour.,99161967608801400,0160-9327,1873-1929,,
Endocrine.,99158518150001400,1355-008X,1559-0100,,
Endocrine connections.,99157412150001400,,2049-3614,,
Endocrine development., ,1421-7082,1662-2979,,
Endocrine disruptors.,,,2327-3747,,
Endocrine journal.,99157347630001400,0918-8959,1348-4540,,
Endocrine pathology., ,1046-3976,1559-0097,,
Endocrine practice., ,1530-891X,1934-2403,,
Endocrine regulations.,99161956020701400,1210-0668,1336-0329,,
Endocrine research.,99157815030001400,0743-5800,1532-4206,,
Endocrine reviews.,99157649700001400,,0163-769X,,
"Endocrine, metabolic and immune disorders - Drug targets.", ,1871-5303,2212-3873,,
Endocrine-Related cancer.,99157494660001400,1351-0088,1479-6821,,
Endocrine-related cancer.,99157494660001400,1351-0088,1479-6821,,
Endocrinologia y nutricion., ,1575-0922,1579-2021,,
endocrinologist.,99158506180001400,1051-2144,,,
Endocrinology.,99157649570001400,0013-7227,1945-7170,,
Endocrinology and metabolism.,99157671230001400,2093-596X,2093-5978,,
Endocrinology and metabolism clinics of North America.,99158432680001400,0889-8529,1558-4410,,
Endocrinology Studies.,99157398510001400,2038-9515,2038-9523,,
"Endocrinology, diabetes and metabolism case reports.",,,2052-0573,,
Endodontic topics.,99158528980001400,1601-1538,1601-1546,,
Endodontics & dental traumatology.,99162000809901400,0109-2502,1600-0595,,
Endokrinologya.,,1310-8131,,,
Endokrynologia Polska.,99157630640001400,0423-104X,,,
Endoplasmic reticulum Stress in diseases.,99161835147301400,,2300-4266,,
Endo-Praxis: bZeitschrift fu?Â¿‹r endoskopiepersonal.,99158530960001400,0177-4077,1611-6429,,
Endoscopia.,99161967400801400,,0188-9893,,
Endoscopic forum for digestive disease.,,0912-0505,,,
Endoscopic Ultrasound.,99161778060901400,2303-9027,2226-7190,,
Endoscopy.,99158530690001400,0013-726X,1438-8812,,
Endoscopy international open.,,2196-9736,,,
eNeuro.,99161824512101400,,2373-2822,,
eNeurologicalSci.,99161967556901400,,2405-6502,,
Enfermedad inflamatoria intestinal al dia.,,1696-7801,,,
Enfermedades infecciosas y microbiologia.,99157471740001400,1405-0994,,,
Enfermedades infecciosas y microbiologia clinica., ,0213-005X,1578-1852,,
Enfermedades infecciosas y microbiologia clinica Monografias.,,1696-3539,,,
Enfermer??a cl??nica., ,1130-8621,1579-2013,,
Enfermer??a intensiva., ,1130-2399,1578-1291,,
Engineering in life sciences.,99158527950001400,1618-0240,1618-2863,,
Entomological research.,99158527150001400,1738-2297,1748-5967,,
Entomological science.,99157243820001400,1343-8786,1479-8298,,
Environment international.,99161967549101400,0160-4120,1873-6750,,
Environmental and molecular Mutagenesis.,99158529360001400,0893-6692,1098-2280,,
Environmental engineering science.,99157770250001400,1092-8758,1557-9018,,
Environmental entomology.,99158440760001400,0046-225X,1938-2936,,
Environmental forensics.,99161967421401400,1527-5922,1527-5930,,
Environmental geochemistry and health.,99158518370001400,0269-4042,1573-2983,,
Environmental health and preventive medicine.,99157242390001400,1342-078X,1347-4715,,
Environmental health perspectives.,99157345780001400,0091-6765,1552-9924,,
Environmental health: A global Access science Source.,99157229900001400,,1476-069X,,
Environmental justice.,99158424050001400,1939-4071,1937-5174,,
Environmental management.,99158518200001400,0364-152X,1432-1009,,
Environmental microbiology.,99157816740001400,1462-2912,1462-2920,,
Environmental microbiology reports.,99157857230001400,,1758-2229,,
Environmental Monitoring and Assessment.,99158908290001400,0167-6369,1573-2959,,
Environmental policy and governance.,99158004930001400,1756-932X,1756-9338,,
Environmental policy and law.,99158442220001400,0378-777X,1878-5395,,
Environmental Pollution.,99161967655501400,0269-7491,1873-6424,,
Environmental quality management.,99157884650001400,1088-1913,1520-6483,,
Environmental research.,99161967548001400,0013-9351,1096-0953,,
Environmental research letters.,99157357660001400,1748-9318,1748-9326,,
Environmental science and policy.,99161967548201400,1462-9011,1873-6416,,
Environmental science and pollution research international.,99158517730001400,0944-1344,1614-7499,,
Environmental science and technology.,99158485180001400,0013-936X,1520-5851,,
Environmental science: Processes and impacts.,99158502810001400,2050-7887,2050-7895,,
Environmental technology (United Kingdom).,99158512180001400,0959-3330,1479-487X,,
Environmental toxicology.,99158527730001400,1520-4081,1522-7278,,
Environmental toxicology and chemistry.,99158529310001400,0730-7268,1552-8618,,
Environmental toxicology and pharmacology.,99158436290001400,1382-6689,1872-7077,,
Environmental toxicology and water quality.,99158527980001400,1053-4725,1098-2256,,
"Environnement, risques et Sante.",,1635-0421,,,
Enzyme and microbial technology.,99161967462301400,0141-0229,1879-0909,,
Enzyme research.,99157406610001400,2090-0406,2090-0414,,
Enzymes., ,0423-2607,1874-6047,,
Epidemics.,99158432860001400,1755-4365,1878-0067,,
Epidemiologia e prevenzione.,99157618900001400,1120-9763,,,
Epidemiologic methods.,99157599230001400,2194-9263,2161-962X,,
Epidemiologic reviews.,99157650120001400,0193-936X,1478-6729,,
"Epidemiologie, mikrobiologie, imunologie.",,1210-7913,,,
Epidemiology.,99158308100001400,1044-3983,1531-5487,,
Epidemiology and community health.,99158308380001400,,0142-467X,,
Epidemiology and infection.,99158307370001400,0950-2688,1469-4409,,
Epidemiology and psychiatric sciences.,99158450970001400,2045-7960,2045-7979,,
Epidemiology research international.,99157394960001400,2090-2972,2090-2980,,
Epigenetic diagnosis and therapy., ,2214-0832,2214-0840,,
Epigenetics.,99157615870001400,1559-2294,1559-2308,,
Epigenetics and Chromatin.,99157229680001400,,1756-8935,,
Epigenetics and human health., ,2191-2262,2191-2270,,
Epigenetics of degenerative diseases.,99161835147101400,,2300-5041,,
Epigenomics.,99161954760901400,1750-1911,1750-192X,,
Epilepsia.,99157780030001400,0013-9580,1528-1167,,
Epilepsia open.,99162000796601400,2470-9239,,,
Epilepsy & behavior: E& B.,99158433870001400,1525-5050,,,
Epilepsy and behavior case reports.,99157439750001400,2213-3232,,,
Epilepsy and Seizure.,,,1882-5567,,
Epilepsy Currents.,99157341980001400,1535-7597,1535-7511,,
Epilepsy research.,99158435320001400,0920-1211,1872-6844,,
Epilepsy research and treatment.,99157409350001400,2090-1348,2090-1356,,
Epileptic disorders.,99161812728501400,1294-9361,1950-6945,,
Epitheorese Klinikes Farmakologias kai Farmakokinetikes.,,1011-6575,,,
EPMA journal.,99157229160001400,1878-5077,1878-5085,,
EPPE bulletin.,99157816300001400,0250-8052,1365-2338,,
ePreservation science.,99143972550001400,1854-3928,1581-9280,,
Equilibrium research.,99157665070001400,0385-5716,,,
Equine veterinary journal.,99160940110001400,0425-1644,2042-3306,,
Erciyes Tip dergisi.,99157360380001400,1300-199X,,,
Erfahrungs-heilkunde.,99158511120001400,0014-0082,0014-0082,,
Ergonomics.,99158513940001400,0014-0139,1366-5847,,
Ergoscience.,99158530530001400,1861-6348,1861-6356,,
ESC heart failure.,99161810545901400,2055-5822,,,
Esophagus., ,1612-9059,1612-9067,,
e-SPEN journal.,99158435410001400,,2212-8263,,
"eSPEN, the European ejournal of clinical nutrition and metabolism. (continued by e-SPEN journal).",99158433000001400,,1751-4991,,
Esperienze dermatologiche.,,1128-9155,,,
Essays in biochemistry.,99161905551101400,0071-1365,1744-1358,,
Essential drugs monitor.,99157444420001400,1015-0919,1564-121X,,
Ethical human psychology and psychiatry., ,1523-150X,1938-9000,,
Ethics.,99157814950001400,,0014-1704,,
"Ethics in biology, engineering and medicine.", ,2151-805X,2151-8068,,
"Ethics, law, and aging review.",99158208900001400,,1540-0948,,
Ethiopian journal of health sciences.,99157626180001400,1029-1857,,,
Ethiopian medical journal.,,0014-1755,,,
Ethiopian pharmaceutical journal.,,1029-5933,,,
Ethnicity & health.,99157815160001400,1355-7858,1465-3419,,
Ethnicity and disease.,99161899660101400,1049-510X,,,
Ethnographiques.org: brevue en ligne de sciences humaines et sociales.,99161950978101400,,1961-9162,,
Eukaryotic cell.,99157500240001400,1535-9778,1535-9786,,
EuPA open proteomics.,99161268130001400,,2212-9685,,
Eurasian journal of analytical chemistry.,99157353480001400,,1306-3057,,
Eurasip journal on bioinformatics and systems biology.,99157212000001400,1687-4145,1687-4153,,
EuroIntervention., ,1774-024X,1969-6213,,
Europace.,99157513390001400,1099-5129,1532-2092,,
European addiction research.,99157770950001400,1022-6877,1421-9891,,
European annals of allergy and clinical immunology.,,1764-1489,,,
"European annals of otorhinolaryngology, head and Neck diseases.",99157440130001400,1879-7296,,,
European Archives of oto-Rhino-Laryngology., ,0937-4477,1434-4726,,
European archives of paediatric dentistry : official journal of the European Academy of Paediatric Dentistry., ,1818-6300,1996-9805,,
European Archives of psychiatry and clinical neuroscience.,99157815960001400,0940-1334,1433-8491,,
European Association of neuroOncology Magazine.,99161949292001400,,2224-3453,,
European biophysics journal.,99157815170001400,0175-7571,1432-1017,,
European cardiology review., ,1758-3756,1758-3764,,
European cells and materials.,99157346480001400,1473-2262,,,
European child and adolescent psychiatry.,99157814920001400,1018-8827,1435-165X,,
European cytokine Network.,,1148-5493,,,
European diabetes nursing.,99158191070001400,1551-7853,1551-7861,,
European Eating disorders review.,99157816230001400,1072-4133,1099-0968,,
European eating disorders review: the journal of the Eating Disorders Association.,99157816230001400,1072-4133,1099-0968,,
European endocrinology.,99161764451801400,1758-3772,1758-3780,,
European geriatric medicine.,99158469290001400,1878-7649,,,
European heart journal.,99157650040001400,0195-668X,1522-9645,,
European heart journal cardiovascular imaging. European Association of Echocardiography & European Society of Cardiology.,99157751690001400,2047-2404,2047-2412,,
"European heart journal, Supplement.",99157499710001400,1520-765X,1554-2815,,
European heart journal: Acute cardiovascular care.,99158519530001400,2048-8726,2048-8734,,
European journal of anaesthesiology.,99158481920001400,0265-0215,1365-2346,,
European journal of anaesthesiology. Supplement.,,0952-1941,,,
European journal of anatomy.,99157317040001400,1136-4890,,,
European journal of applied physiology.,99158930450001400,1439-6319,1439-6327,,
European journal of biochemistry.,99157815800001400,0014-2956,1432-1033,,
European journal of cancer care.,99157815630001400,0961-5423,1365-2354,,
European journal of cancer prevention: the official journal of the European Cancer Prevention Organisation (ECP).,99158506220001400,0959-8278,1473-5709,,
"European journal of cancer, Supplement.",99158436420001400,1359-6349,1878-1217,,
European journal of cancer: official journal for European Organization for Research and Treatment of Cancer (EORTC) [and] European Association for Cancer Research (EACR).,99158432240001400,0959-8049,1879-0852,,
European journal of cardio-thoracic surgery.,99157650510001400,1010-7940,1873-734X,,
European journal of cardiovascular medicine.,99157384030001400,2042-4884,2042-4892,,
European journal of cardiovascular nursing., ,1474-5151,1873-1953,,
European journal of case reports in internal medicine.,99162012454101400,,2284-2594,,
European journal of cell biology.,99158475550001400,0171-9335,1618-1298,,
European journal of clinical investigation.,99157815790001400,0014-2972,1365-2362,,
European journal of clinical microbiology and infectious diseases.,99158517260001400,0934-9723,1435-4373,,
European journal of clinical nutrition.,99157719690001400,0954-3007,1476-5640,,
European journal of clinical pharmacology.,99158191250001400,0031-6970,1432-1041,,
European journal of clinical pharmacy.,,2385-409X,,,
European journal of cognitive psychology.,99158513580001400,0954-1446,1464-0635,,
European journal of contraception & reproductive health care: the official journal of the European Society of Contraception.,99157815350001400,1362-5187,1473-0782,,
European journal of dental education: official journal of the Association for Dental Education in Europe.,99158527460001400,1396-5883,1600-0579,,
European journal of dermatology., ,1167-1122,1952-4013,,
European journal of disorders of communication.,99162000796101400,0963-7273,,,
European journal of drug metabolism and pharmacokinetics., ,0378-7966,2107-0180,,
European journal of emergency medicine: official journal of the European Society for Emergency medicine.,99158506590001400,0969-9546,1473-5695,,
European journal of endocrinology.,99157649880001400,0804-4643,1479-683X,,
European journal of epidemiology.,99158307500001400,0393-2990,1573-7284,,
European journal of gastroenterology & hepatology.,,,,,
European journal of gastroenterology and hepatology.,99158507420001400,0954-691X,1473-5687,,
European journal of general medicine.,99157213110001400,1304-3889,,,
European journal of general practice.,99158476880001400,1381-4788,1751-1402,,
European journal of gynaecological oncology.,,0392-2936,,,
European journal of Haematology.,99157815660001400,0902-4441,1600-0609,,
European journal of health Economics.,99158293300001400,1618-7598,1618-7601,,
European journal of health law.,99157816030001452 99157816030001452,0929-0273,0929-0273,,
European journal of heart failure.,99157650540001400,1388-9842,1879-0844,,
"European journal of heart Failure, Supplement.",99157875610001400,1567-4215,1878-1314,,
European journal of histochemistry : EJH.,99157361590001400,1121-760X,2038-8306,,
European journal of hospital pharmacy., ,2047-9956,2047-9964,,
European journal of human genetics.,99157719600001400,1018-4813,1476-5438,,
European journal of immunogenetics.,99157815540001400,†0960-7420,1365-2370,,
European journal of immunology.,99158527830001400,0014-2980,1521-4141,,
European journal of inflammation.,99157879290001400,1721-727X,,,
European journal of integrative medicine.,99158539610001400,1876-3820,1876-3839,,
European journal of internal medicine.,99158433320001400,0953-6205,1879-0828,,
European journal of lipid science and technology: EJLST.,99158527670001400,1438-7697,1438-9312,,
European journal of lymphology and related problems.,,0778-5569,,,
European journal of mass spectrometry., ,1469-0667,1751-6838,,
European journal of medical genetics.,99158434690001400,1769-7212,1878-0849,,
European journal of medical research.,99157229300001400,0949-2321,2047-783X,,
European journal of medicinal chemistry.,99161967539301400,0223-5234,1768-3254,,
European journal of mental health.,99161951853101400,1788-4934,1788-7119,,
European journal of Nanomedicine., ,1662-5986,1662-596X,,
European journal of neurodegenerative diseases.,,2279-5855,,,
European journal of neurology: the official journal of the European Federation of Neurological Societies.,99157814980001400,1351-5101,1468-1331,,
European journal of neuroscience.,99157817110001400,0953-816X,1460-9568,,
European journal of Nuclear medicine and molecular imaging.,99157816110001400,1619-7070,1619-7089,,
European journal of nutrition.,99157815850001400,1436-6207,1436-6215,,
"European journal of obstetrics, gynecology, and reproductive biology.",99158436440001400,0301-2115,1872-7654,,
European journal of oncology.,,1128-6598,,,
European journal of oncology nursing : the official journal of European Oncology Nursing Society.,99158435780001400,1462-3889,1532-2122,,
European journal of oncology pharmacy.,99157395140001400,1783-3914,,,
European journal of ophthalmology.,,1120-6721,,,
European journal of oral implantology., ,1756-2406,1756-2414,,
European journal of oral sciences.,99158527160001400,0909-8836,1600-0722,,
European journal of organic chemistry.,99158528450001400,1434-193X,1099-0690,,
European journal of oriental medicine.,,1351-6647,,,
European journal of orthodontics.,99157649490001400,0141-5387,1460-2210,,
European journal of orthopaedic surgery and traumatology.,99161966787401400,1633-8065,1432-1068,,
European journal of paediatric dentistry : official journal of European Academy of Paediatric Dentistry.,99157482160001400,1591-996X,2035-648X,,
European journal of paediatric neurology: EJPN: official journal of the European Paediatric Neurology Society.,99158432560001400,1090-3798,1532-2130,,
European journal of pain supplements.,99158434950001400,1754-3207,1878-0075,,
European journal of pain: EJP.,99158435570001400,1090-3801,1532-2149,,
European journal of parenteral and pharmaceutical sciences.,,0964-4679,,,
European journal of pediatric dermatology.,99157848140001400,1122-7672,2239-5709,,
European journal of pediatric surgery reports.,99161766512401400,2194-7619,2194-7627,,
European journal of pediatric surgery: official journal of Austrian Association of Pediatric Surgery.,99158511320001400,0939-7248,1439-359X,,
European journal of pediatrics.,99157815510001400,0340-6199,1432-1076,,
"European journal of personality,.",99157816600001400,0890-2070,1099-0984,,
European journal of pharmaceutical sciences.,99161967473001400,0928-0987,1879-0720,,
European journal of pharmaceutics and biopharmaceutics: official journal of Arbeitsgemeinschaft fu?Â¿‹r Pharmazeutische Verfahrenstechnik e.V.,99161967475701400,0939-6411,1873-3441,,
European journal of pharmacology.,99161967373901400,0014-2999,1879-0712,,
European journal of physical and rehabilitation medicine., ,1973-9087,1973-9095,,
European journal of physiotherapy.,99158476890001400,2167-9169,2167-9177,,
European journal of Plastic surgery.,99157855040001400,0930-343X,1435-0130,,
European journal of preventive cardiology., ,2047-4873,2047-4881,,
European journal of prosthodontics and restorative dentistry.,,0965-7452,,,
European journal of protistology.,99161967559201400,0932-4739,1618-0429,,
European journal of psychiatry.,99157343350001400,0213-6163,,,
European journal of public health.,99157493620001400,1101-1262,1464-360X,,
European journal of radiology.,99158436650001400,0720-048X,1872-7727,,
European journal of radiology Extra.,99158436200001400,,1571-4675,,
European journal of radiology open.,99161804252801400,,2352-0477,,
European journal of social psychology.,99157816190001400,0046-2772,1099-0992,,
European journal of special Needs Education., ,0885-6257,1469-591X,,
European journal of sport science., ,1746-1391,1536-7290,,
European journal of surgery.,99157816970001400,1102-4151,1741-9271,,
European journal of surgical oncology.,99158435450001400,0748-7983,1532-2157,,
European journal of surgical oncology: the journal of the European Society of Surgical Oncology and the British Association of Surgical Oncology.,99158435450001400,0748-7983,1532-2157,,
European journal of trauma and emergency surgery : official publication of the European Trauma Society.,99158192350001400,1863-9933,1863-9941,,
European journal of vascular and endovascular surgery: the official journal of the European Society for Vascular Surgery.,99158433690001400,1078-5884,1532-2165,,
European life science journal.,,2000-1444,,,
European neurological journal.,,2041-8000,,,
European neurology.,99157751130001400,0014-3022,1421-9913,,
European neuropsychopharmacology.,99158432410001400,0924-977X,1873-7862,,
European neuropsychopharmacology: the journal of the European College of Neuropsychopharmacology.,99158432410001400,0924-977X,1873-7862,,
European oncology and Haematology., ,2045-5275,2045-5283,,
European orthopaedics and traumatology., ,1867-4569,1867-4577,,
European pharmaceutical contractor.,,1364-369X,,,
European pharmaceutical review.,,1360-8606,,,
"European physical journal. E, Soft matter.",99157814870001400,1292-8941,1292-895X,,
"European physical journal. H, historical perspectives on contemporary physics.",99158516810001400,2102-6459,2102-6467,,
European psychiatric review., ,1758-1354,1758-1362,,
European psychiatry.,99158540190001400,0924-9338,1778-3585,,
European radiology.,99158930400001400,0938-7994,1432-1084,,
European radiology. Supplement.,99162086893701400,1613-3749,1613-3757,,
European research in telemedicine.,99161967632801400,2212-764X,,,
European respiratory journal.,99157507460001400,0903-1936,1399-3003,,
European respiratory Monograph., ,1025-448X,2075-6674,,
European respiratory review: an official journal of the European Respiratory Society.,99157380280001400,0905-9180,1600-0617,,
European review for medical and pharmacological sciences.,,1128-3602,,,
"European spine journal: official publication of the European Spine Society, the European Spinal Deformity Society, and the European Section of the Cervical Spine Research Society.",99158930390001400,0940-6719,1432-0932,,
European surgery - Acta Chirurgica Austriaca.,99157816890001400,1682-8631,1682-4016,,
European surgical research.,99157751100001400,0014-312X,1421-9921,,
European Thyroid journal.,99161958023401400,2235-0640,2235-0802,,
European urology.,99158475190001400,0302-2838,1873-7560,,
European urology Focus.,,,2405-4569,,
European urology. supplements.,99158432150001400,1569-9056,1878-1500,,
Eurosurveillance.,99157346720001400,1025-496X,1560-7917,,
Euscorpius: occasional publications in scorpiology.,99162049924901400,,1536-9307,,
Evaluation & the health professions.,99158519780001400,0163-2787,1552-3918,,
Evaluation and program planning.,99161967617901400,0149-7189,1873-7870,,
Evaluation review.,99158501760001400,0193-841X,1552-3926,,
Evidence report/technology assessment.,,1530-4396,,,
Evidence-based cardiovascular medicine.,99161967424201400,1361-2611,1532-2173,,
Evidence-Based child health.,99162000794301400,2040-4050,1557-6272,,
Evidence-Based communication Assessment and intervention.,99158206330001400,1748-9539,1748-9547,,
Evidence-based complementary and alternative medicine.,99157382870001400,1741-427X,1741-4288,,
Evidence-based dentistry.,99157719430001400,1462-0049,1476-5446,,
Evidence-based eye care.,99158505700001400,1525-8599,1536-4836,,
Evidence-based medicine.,99157228860001400,1356-5524,1473-6810,,
Evidence-based mental health.,99157228880001400,1362-0347,1468-960X,,
Evidence-based nursing.,99157228650001400,1367-6539,1468-9618,,
Evidence-based ophthalmology.,99161941801701400,1555-9203,1555-9211,,
Evidence-based preclinical medicine.,99161769559901400,,2054-703X,,
Evolution & development.,99157817030001400,1520-541X,1525-142X,,
Evolution and human behavior.,99158434000001400,1090-5138,1879-0607,,
Evolution letters.,99162017258201400,,2056-3744,,
Evolution psychiatrique.,99161967646301400,0014-3855,1769-6674,,
"Evolution, medicine and public health.",99159248580001400,,2050-6201,,
Evolution:  international journal of organic evolution.,"
99157858440001452",1558-5646,0014-3820,,
Evolutionary anthropology.,99158529140001400,1060-1538,1520-6505,,
Evolutionary applications.,99157404300001400,,†1752-4571,,
Evolutionary bioinformatics.,99157356600001400,,1176-9343,,
Evolutionary computation.,99157816880001400,1063-6560,1530-9304,,
Evolutionary psychology : an international journal of evolutionary approaches to psychology and behavior.,99157350930001400,,1474-7049,,
EWHA medical journal.,99157672430001400,2234-3180,2234-2591,,
Exceptional parent.,99158193170001400,,0046-9157,,
EXCLI journal.,99157355280001400,,1611-2156,,
Exercise and sport sciences reviews.,99158505960001400,0091-6331,1538-3008,,
Exercise immunology review.,99161832452801400,1077-5552,,,
Experimental & applied acarology., ,0168-8162,1572-9702,,
Experimental aging research.,99157816910001400,0361-073X,1096-4657,,
"Experimental and clinical endocrinology & diabetes: official journal, German Society of Endocrinology [and] German Diabetes Association.",99158530720001400,0947-7349,1439-3646,,
Experimental and clinical hepatology.,99157875900001400,1734-3038,,,
Experimental and clinical psychopharmacology.,99158253790001400,1064-1297,1936-2293,,
Experimental and clinical transplantation.,99157446610001400,1304-0855,,,
Experimental and molecular medicine.,99157332290001400,1226-3613,2092-6413,,
Experimental and molecular pathology.,99161967547901400,0014-4800,1096-0945,,
Experimental and therapeutic medicine.,99157751900001400,1792-0981,1792-1015,,
Experimental and toxicologic pathology.,99161967537401400,0940-2993,1618-1433,,
Experimental and translational Stroke medicine.,99157212290001400,,2040-7378,,
Experimental animals.,99157349840001400,1341-1357,,,
Experimental biology and medicine.,99157499510001400,1535-3702,1535-3699,,
Experimental brain research.,99158516710001400,0014-4819,1432-1106,,
Experimental cell research.,99161967525301400,0014-4827,1090-2422,,
Experimental dermatology.,99157815720001400,0906-6705,1600-0625,,
Experimental Eye research.,99161967547701400,0014-4835,1096-0007,,
Experimental gerontology.,99161967555801400,0531-5565,1873-6815,,
Experimental hematology.,99158434160001400,0301-472X,1873-2399,,
Experimental hematology and oncology.,99157229050001400,,2162-3619,,
Experimental lung research.,99157816720001400,0190-2148,1521-0499,,
Experimental neurology.,99161967525201400,0014-4886,1090-2430,,
Experimental oncology.,,1812-9269,,,
Experimental parasitology.,99161967504601400,0014-4894,1090-2449,,
Experimental physiology.,99157508630001400,0958-0670,1469-445X,,
Experimental psychology.,99158253730001400,1618-3169,,,
Expert opinion on biological therapy.,99161776597501400,1471-2598,1744-7682,,
Expert opinion on drug delivery.,99161776598801400,1742-5247,1744-7593,,
Expert opinion on drug discovery.,99161776595101400,1746-0441,1746-045X,,
Expert opinion on drug metabolism & toxicology.,99161776597401400,1742-5255,1744-7607,,
Expert opinion on drug safety.,99161776597301400,1474-0338,1744-764X,,
Expert opinion on emerging drugs.,99161776597201400,1472-8214,1744-7623,,
Expert opinion on investigational drugs.,99161776597101400,1354-3784,1744-7658,,
Expert opinion on medical diagnostics.,,,1753-0067,,
Expert opinion on orphan drugs.,99161763541901400,,2167-8707,,
Expert opinion on pharmacotherapy.,99161776597001400,1465-6566,1744-7666,,
Expert opinion on therapeutic patents.,99161776596901400,1354-3776,1744-7674,,
Expert opinion on therapeutic targets.,99161776596801400,1472-8222,1744-7631,,
Expert review of anticancer therapy., ,1473-7140,1744-8328,,
Expert review of anti-Infective therapy.,99161821946001400,1478-7210,1744-8336,,
Expert review of cardiovascular therapy., ,1477-9072,1744-8344,,
Expert review of clinical immunology., ,1744-666X,1744-8409,,
Expert review of clinical pharmacology., ,1751-2433,1751-2441,,
Expert review of dermatology., ,1746-9872,1746-9880,,
Expert review of endocrinology and metabolism., ,1744-6651,1744-8417,,
Expert review of gastroenterology and hepatology., ,1747-4124,1747-4132,,
Expert review of hematology., ,1747-4086,1747-4094,,
Expert review of medical devices., ,1743-4440,1745-2422,,
Expert review of molecular diagnostics., ,1473-7159,1744-8352,,
Expert review of neurotherapeutics., ,1473-7175,1744-8360,,
Expert review of obstetrics and gynecology., ,1747-4108,1747-4116,,
Expert review of ophthalmology., ,1746-9899,1746-9902,,
Expert review of pharmacoeconomics and outcomes research., ,1473-7167,1744-8379,,
Expert review of proteomics.,991618198001452,1478-9450,1744-8387,,
Expert review of respiratory medicine., ,1747-6348,1747-6356,,
Expert review of vaccines., ,1476-0584,1744-8395,,
Expert reviews in molecular medicine.,,1462-3994,,,
Explore: the journal of science and healing.,99161967540801400,1550-8307,1878-7541,,
EXS.,,1023-294X,,,
Extreme physiology and medicine.,99157230010001400,,2046-7648,,
Extremophiles : life under extreme conditions.,99158516940001400,1431-0651,1433-4909,,
Eye & contact lens.,99161941798101400,1542-2321,1542-233X,,
Eye (Basingstoke).,99157719530001400,0950-222X,1476-5454,,
Eye and brain.,99157383160001400,1179-2744,,,
Eye reports.,99157394130001400,2039-4748,2039-4756,,
Eye science.,,1000-4432,,,
F1000Prime reports.,,,2051-7599,,
F1000Research., ,2046-1402,1759-796X,,
Fa yi xue za zhi.,99158361310001400,1004-5619,,,
Fabad journal of pharmaceutical sciences.,,1300-4182,,,
Facial plastic surgery : FPS.,99158530850001400,0736-6825,1098-8793,,
Facial plastic surgery clinics of North America.,99158436250001400,1064-7406,1558-1926,,
"Facts, News and Views.",,1591-0083,,,
Familial cancer.,99158930160001400,1389-9600,1573-7292,,
"Families in society: the journal of contemporary human services. Family Service America, Families International (Milwaukee, Wis.) & Alliance for Children and Families.",99158268460001400,1945-1350,1044-3894,,
"Families, systems & health : the journal of collaborative family healthcare.",99157815590001400,1091-7527,1939-0602,,
Family & community health.,99158192540001400,0160-6379,1550-5057,,
Family court review.,99157815290001400,1531-2445,1744-1617,,
Family medicine.,99157348670001400,0742-3225,1938-3800,,
Family medicine and primary care review.,99161927154101400,1734-3402,,,
Family practice.,99157519900001400,0263-2136,1460-2229,,
Family practice management.,99157434560001400,1069-5648,1531-1929,,
Family practice recertification.,99158191840001400,,0163-6642,,
Family process.,99157815480001400,0014-7370,1545-5300,,
Family relations.,99158201260001400,0197-6664,1741-3729,,
Family: journal of social casework. Family Service America & Family Service Association of America.,,,0037-7678,,
FAO food and nutrition paper.,,0254-4725,,,
Faraday discussions.,99158503140001400,1359-6640,,,
Farmaceuticky obzor.,,0014-8172,,,
Farmaceutico hospitales.,99157851310001400,0214-4697,,,
Farmaceuticos de Atencion primaria.,,2172-3761,,,
Farmaceutisch Tijdschrift voor Belgie.,,0771-2367,,,
Farmaceutski glasnik.,,0014-8202,,,
Farmaceutyczny przeglad Naukowy.,,1425-5073,,,
Farmacevtski Vestnik.,99157515160001400,0014-8229,,,
Farmacia.,99157578480001400,0014-8237,,,
Farmacia hospitalaria.,99157493440001400,1130-6343,2171-8695,,
FASEB journal.,99157508170001400,0892-6638,1530-6860,,
"Fatigue: Biomedicine, health and behavior.", ,2164-1846,2164-1862,,
FDA consumer.,99157797200001400,,1554-9852,,
FEBS journal.,99157780140001400,1742-464X,1742-4658,,
FEBS letters.,99157440030001400,0014-5793,1873-3468,,
FEBS open bio.,99157417390001400,2211-5463,,,
Federal facilities environmental journal.,99162000793801400,1048-4078,1520-6513,,
Federal probation.,99157798520001400,,1555-0303,,
Federal register.,99157796640001400,0097-6326,2167-2520,,
Female pelvic medicine & reconstructive surgery.,,,,,
Female Pelvic medicine and reconstructive surgery.,99161941798801400,2151-8378,2154-4212,,
FEMS microbiology ecology.,99158448960001400,0168-6496,1574-6941,,
FEMS microbiology letters.,99158447080001400,0378-1097,1574-6968,,
FEMS microbiology reviews.,99158448980001400,0168-6445,1574-6976,,
FEMS Yeast research.,99157792280001400,1567-1356,1567-1364,,
Fertility and sterility.,99158434620001400,0015-0282,1556-5653,,
Fetal and maternal medicine review.,99161948561001400,0965-5395,1469-5065,,
Fetal and pediatric pathology.,99157815490001400,1551-3815,1551-3823,,
